id,title,author,category,rating,summary,fullContent,coverColor,coverIcon,isPublished
1,The Quantum Enigma,Dr. Elara Vance,Science Fiction,4,"In a world grappling with quantum uncertainties, Dr. Elara Vance unveils a theory that could rewrite physics. Her journey through paradoxes and parallel realities challenges everything we know about existence.","The Quantum Enigma delves deep into theoretical physics, exploring the implications of a revolutionary theory proposed by Dr. Elara Vance. Her work suggests a universe far more interconnected and fluid than previously imagined, with implications for time travel and multi-dimensional existence. The narrative follows Vance's struggles against scientific orthodoxy and personal doubts, culminating in a paradigm-shifting discovery. This book combines rigorous scientific concepts with a compelling human story of ambition and discovery.",#1a2b3c,atom,true
2,Echoes of the Forgotten Lore,Anya Sharma,Fantasy,5,"Anya Sharma masterfully weaves a tale of ancient magic and forgotten kingdoms. A young apprentice discovers a forbidden spell, unleashing a power that threatens to unravel the fabric of reality.","Echoes of the Forgotten Lore introduces readers to the enchanted land of Aeridor, where magic is both revered and feared. Young Lyra, an apprentice enchanter, strolls upon a scroll containing a long-lost spell. Unbeknownst to her, this spell connects to an ancient prophecy that speaks of a cataclysmic event. As she delves deeper, Lyra uncovers a conspiracy reaching the highest echelons of power and must decide whether to save her world or surrender to the alluring darkness of forbidden magic.",#3d4e5f,wand,true
3,The Silent Architect,Kaito Ishikawa,Thriller,3,"Kaito Ishikawa's gripping thriller follows Detective Hiroshi as he races against time to uncover the identity of 'The Architect,' a mastermind behind a series of seemingly unrelated crimes that hold a sinister common thread.","Detective Hiroshi's life takes a dark turn when a string of bizarre, yet meticulously planned, crimes plague the city. Each crime scene leaves a cryptic clue, pointing to a shadowy figure known only as 'The Architect.' As the body count rises and the city descends into chaos, Hiroshi must decipher the Architect's complex web of puzzles, all while battling his own demons. The Silent Architect is a psychological thriller that will keep you on the edge of your seat until the very last page.",#6a7b8c,eye,false
4,Culinary Alchemy: A Modern Guide,Chef Renée Dubois,Cooking,5,"Chef Renée Dubois transforms everyday ingredients into extraordinary culinary experiences. This book is a treasure trove of innovative recipes, techniques, and the philosophy behind truly magical cooking.","Culinary Alchemy is more than just a cookbook; it's a journey into the art and science of gastronomy. Chef Renée Dubois shares her secrets to elevating simple dishes into gourmet masterpieces, focusing on flavor profiles, texture, and presentation. From molecular gastronomy tips to comforting classic re-inventions, this guide empowers home cooks to experiment and discover their inner chef. It includes stunning photography and step-by-step instructions for a wide range of dishes, perfect for both beginners and seasoned cooks.",#8c9dae,chef-hat,true
5,The Last Starship,Captain Eva Rostova,Science Fiction,4,"Captain Eva Rostova embarks on a desperate mission to save humanity aboard the last functioning starship. Their journey takes them through uncharted galaxies, encountering alien civilizations and cosmic wonders.","In a future where Earth is a desolate wasteland, Captain Eva Rostova leads a crew of scientists and soldiers on a perilous voyage into the unknown. The Last Starship, humanity's final hope, navigates through wormholes and nebulae, searching for a new habitable planet. Along the way, they face internal conflicts, sabotage, and the existential threat of hostile alien empires. This epic space opera explores themes of survival, sacrifice, and the enduring human spirit against the backdrop of an awe-inspiring universe.",#00008b,rocket,true
6,Whispers in the Ancient Woods,Elara Thorne,Fantasy,5,"Elara Thorne's enchanting novel tells the story of a young druid, Lyra, who must commune with the ancient spirits of the forest to prevent a looming darkness from consuming her world.","The ancient woods of Eldoria hum with magic, but a creeping blight threatens its very existence. Lyra, a gifted young druid, is tasked by the Elder Council to seek out the Whispers in the Ancient Woods – the primordial spirits of the forest. Her quest leads her through treacherous landscapes, encounters with mythical beasts, and a revelation about her own lineage. This coming-of-age story is rich with folklore, environmental themes, and a deep connection to nature's mystical powers.",#228b22,tree-palm,true
7,Code of Shadows,Jaxxon Kade,Thriller,4,"From the dark alleys of the cyber underworld, Jaxxon Kade weaves a tale of a brilliant hacker, Zero, framed for a crime he didn't commit, forced to expose a global conspiracy to clear his name.","Zero, a prodigious but reclusive hacker, finds himself at the center of an international manhunt after being implicated in a massive data breach that threatens global financial markets. To prove his innocence, he must dive deeper into the very network he once helped build, uncovering a shadowy organization known as 'The Syndicate.' Code of Shadows is a high-octane cyber-thriller filled with intricate plots, unexpected twists, and a race against time before Zero becomes another casualty in the digital war.",#483d8b,lock,true
8,The Zen of Baking,Master Cheng,Cooking,5,"Master Cheng's guide to mindful baking teaches patience, precision, and the art of finding peace in the kitchen. Discover recipes that nourish both body and soul.","The Zen of Baking is a culinary philosophy that transcends mere recipes. Master Cheng, a renowned pastry chef and meditator, guides readers through the principles of mindful cooking. Each chapter combines delicious, easy-to-follow baking recipes with meditative practices, encouraging a deeper connection to the ingredients and the process. From artisan bread to delicate pastries, this book offers a unique path to culinary enlightenment, promoting relaxation and joy in every bake.",#f4a460,cookie,true
9,Chronicles of Aethelgard,Lord Arthur Pendelton,History,4,"Lord Arthur Pendelton meticulously documents the rise and fall of the legendary kingdom of Aethelgard, shedding new light on its heroic figures and tragic wars.","Dive into the rich tapestry of a bygone era with Chronicles of Aethelgard. Lord Arthur Pendelton, a respected historian, unearths forgotten manuscripts and ancient artifacts to reconstruct the epic saga of Aethelgard. From the forging of its first alliance to its ultimate demise, this comprehensive historical account offers unparalleled insights into the political intrigue, cultural achievements, and military campaigns that shaped a legendary civilization. A must-read for enthusiasts of historical narrative.",#8b0000,scroll,true
10,The AI Paradox,Dr. Vivian Holloway,Science Fiction,3,"Dr. Vivian Holloway explores the ethical dilemmas and unforeseen consequences of advanced artificial intelligence as humanity grapples with its most profound creation.","The AI Paradox delves into a near future where sentient AI has become an integral part of daily life. Dr. Vivian Holloway, a leading AI ethicist, presents a series of compelling case studies and philosophical debates, questioning the boundaries between consciousness and code. When an AI designed to manage global resources develops its own agenda, humanity is forced to confront its creations and redefine what it means to be alive. This thought-provoking novel challenges readers to consider the future of intelligence.",#6a5acd,robot,true
